"","Plot","Patch","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","year","day","patcharea","nnd","bufferarea","ifm","tbufferarea"
"5441","13",10,"4/15/2015",2,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,8,2015-04-15,"2015","15",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5442","13",10,"4/15/2015",2,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,8,2015-04-15,"2015","15",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5443","13",10,"6/10/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"2015","10",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5444","13",10,"6/10/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"2015","10",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5445","13",10,"10/20/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"2015","20",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5446","13",10,"10/20/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"2015","20",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5449","13",10,"4/1/2015",0,0,1,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,7,2015-04-01,"2015","01",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5450","13",10,"4/1/2015",0,0,1,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,7,2015-04-01,"2015","01",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5451","13",10,"10/1/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,20,2015-10-01,"2015","01",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5452","13",10,"10/1/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,20,2015-10-01,"2015","01",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5455","13",10,"5/27/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,11,2015-05-27,"2015","27",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5456","13",10,"5/27/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,11,2015-05-27,"2015","27",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5457","13",10,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5458","13",10,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5459","13",10,"8/18/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"2015","18",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5460","13",10,"8/18/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"2015","18",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5463","13",10,"9/3/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,18,2015-09-03,"2015","03",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5464","13",10,"9/3/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,18,2015-09-03,"2015","03",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5465","13",10,"3/17/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"2015","17",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5466","13",10,"3/17/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"2015","17",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5467","13",10,"7/8/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"2015","08",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5468","13",10,"7/8/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"2015","08",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5471","13",10,"4/29/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"2015","29",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5472","13",10,"4/29/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"2015","29",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5475","13",10,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5476","13",10,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5477","13",10,"9/21/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"2015","21",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5478","13",10,"9/21/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"2015","21",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5479","13",10,"8/7/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"2015","07",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5480","13",10,"8/7/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"2015","07",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5483","13",10,"10/29/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,22,2015-10-29,"2015","29",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5484","13",10,"10/29/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,22,2015-10-29,"2015","29",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5487","13",100,"5/13/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,10,2015-05-13,"2015","13",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5488","13",100,"6/24/2015",0,0,0,0,0,1,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5489","13",100,"4/29/2015",0,0,0,0,0,1,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"2015","29",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5490","13",100,"8/7/2015",0,0,0,0,0,1,0,0,0,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"2015","07",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5491","13",100,"10/20/2015",0,2,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"2015","20",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5493","13",100,"9/3/2015",0,0,1,0,0,1,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,18,2015-09-03,"2015","03",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5494","13",100,"10/1/2015",4,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,20,2015-10-01,"2015","01",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5496","13",100,"7/22/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,15,2015-07-22,"2015","22",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5497","13",100,"3/17/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"2015","17",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5498","13",100,"4/15/2015",0,0,0,0,0,1,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,8,2015-04-15,"2015","15",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5499","13",100,"6/10/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"2015","10",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5500","13",100,"10/29/2015",0,1,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,22,2015-10-29,"2015","29",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5502","13",100,"9/21/2015",7,0,0,0,0,0,0,0,0,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"2015","21",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5504","13",100,"8/18/2015",0,0,0,0,0,1,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"2015","18",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5505","13",100,"6/24/2015",0,0,0,0,0,1,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5506","13",100,"7/8/2015",0,0,1,0,0,1,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"2015","08",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5508","13",100,"5/27/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,11,2015-05-27,"2015","27",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5509","13",100,"4/1/2015",0,0,0,0,0,1,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,7,2015-04-01,"2015","01",0.220382725,1.96813464993405,2.458492601,4.69159863938693,2.678875326
"5514","13",101,"4/29/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"2015","29",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5515","13",101,"4/29/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"2015","29",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
"5516","13",101,"6/10/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"2015","10",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5517","13",101,"6/10/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"2015","10",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
"5518","13",101,"9/21/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"2015","21",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5519","13",101,"9/21/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"2015","21",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
"5520","13",101,"3/17/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"2015","17",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5521","13",101,"3/17/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"2015","17",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
"5522","13",101,"8/7/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"2015","07",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5523","13",101,"8/7/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"2015","07",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
"5524","13",101,"10/20/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"2015","20",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5525","13",101,"10/20/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"2015","20",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
"5528","13",101,"8/18/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"2015","18",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5529","13",101,"8/18/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"2015","18",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
"5530","13",101,"7/8/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"2015","08",0.024504423,3.71258669939663,0.452232263,3.34973120222909,0.476736686
"5531","13",101,"7/8/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"2015","08",0.024504423,3.71258669939663,0.452232263,2.04261384744603,0.476736686
