"","Plot","Patch","X","year","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","day","patcharea","nnd","bufferarea","bufferfararea","ifm","tbufferfararea","tbufferarea","month","coordInc"
"81",10,24,73,2015,2015-03-10,0,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,3,0
"82",10,24,80,2015,2015-08-28,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,8,0
"83",10,24,67,2014,2014-09-08,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,4,"2014-09-08",8,0.347145988,1.9371393858293,3.233955478,3.233955478,3.64694132080708,3.581101466,3.581101466,9,0
"84",10,24,77,2015,2015-06-17,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,6,0
"85",10,24,68,2014,2014-10-06,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,5,"2014-10-06",6,0.347145988,1.9371393858293,3.233955478,3.233955478,3.64694132080708,3.581101466,3.581101466,10,0
"86",10,24,79,2015,2015-04-22,24,0,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,4,0
"87",10,24,78,2015,2015-07-01,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,7,0
"88",10,24,88,2015,2015-07-31,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,7,0
"89",10,35,110,2015,2015-07-01,0,0,1,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,7,0
"91",10,35,101,2015,2015-05-20,0,1,1,0,0,0,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,5,0
"92",10,35,98,2015,2015-04-22,8,5,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,4,0
"93",10,35,96,2015,2015-07-31,0,1,2,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,7,0
"94",10,35,109,2015,2015-09-10,7,1,1,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,9,0
"95",10,35,94,2015,2015-06-17,4,0,3,0,0,1,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,6,0
"96",10,35,95,2015,2015-09-24,0,0,2,0,0,0,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,9,0
"97",10,35,99,2015,2015-04-08,5,0,0,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,4,0
"98",10,35,100,2015,2015-06-03,5,1,2,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,6,0
"99",10,35,89,2014,2014-09-08,4,3,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,4,"2014-09-08",8,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,9,0
"100",10,35,108,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,10,0
"102",10,35,91,2014,2014-06-16,0,0,3,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,1,"2014-06-16",16,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,6,0
"113",10,46,124,2015,2015-03-25,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,3,1
"130",10,46,119,2015,2015-08-12,0,0,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,8,1
"138",10,57,139,2015,2015-03-25,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,3,0
"139",10,57,140,2015,2015-05-20,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,5,0
"140",10,57,153,2015,2015-03-10,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,3,0
"141",10,57,145,2015,2015-10-22,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,10,0
"143",10,57,148,2015,2015-09-24,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,9,0
"144",10,57,134,2014,2014-08-11,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,3,"2014-08-11",11,0.065345127,3.00753187863242,3.347916751,3.347916751,4.14921576425861,3.413261878,3.413261878,8,0
"145",10,57,154,2015,2015-07-31,0,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,7,0
"146",10,57,144,2015,2015-05-07,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,5,0
"147",10,57,136,2014,2014-07-14,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,2,"2014-07-14",14,0.065345127,3.00753187863242,3.347916751,3.347916751,4.14921576425861,3.413261878,3.413261878,7,0
"148",10,57,152,2015,2015-04-22,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,4,0
"149",10,57,147,2015,2015-08-28,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,8,0
"150",10,57,142,2015,2015-07-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,7,0
"151",10,57,133,2014,2014-10-06,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,5,"2014-10-06",6,0.065345127,3.00753187863242,3.347916751,3.347916751,4.14921576425861,3.413261878,3.413261878,10,0
"152",10,57,146,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.02576106,1.86827754882749,0.737017635,0.737017635,4.2137019658663,0.762778695,0.762778695,10,0
"162",10,68,167,2015,2015-08-12,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,8,0
"163",10,68,170,2015,2015-05-20,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,5,0
"165",10,68,166,2015,2015-03-10,0,0,4,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,3,0
"166",10,68,171,2015,2015-05-07,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,5,0
"167",10,68,161,2015,2015-07-01,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,7,0
"168",10,68,175,2015,2015-08-28,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,8,0
"169",10,68,165,2015,2015-09-24,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,9,0
"170",10,68,162,2015,2015-06-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,6,0
"171",10,68,169,2015,2015-06-03,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,6,0
"172",10,68,174,2015,2015-04-22,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,4,0
"173",10,68,158,2014,2014-09-08,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,4,"2014-09-08",8,0.053407075,3.00753187863242,2.064576151,2.064576151,3.71400108184278,2.117983226,2.117983226,9,0
"174",10,68,159,2014,2014-07-14,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,2,"2014-07-14",14,0.053407075,3.00753187863242,2.064576151,2.064576151,3.71400108184278,2.117983226,2.117983226,7,0
"176",10,68,172,2015,2015-04-08,23,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.005026548,1.73772984076151,4.083756291,4.083756291,4.25219684472793,4.088782839,4.088782839,4,0
"177",10,79,191,2015,2015-04-22,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,4,1
"178",10,79,197,2015,2015-06-03,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,6,1
"179",10,79,180,2014,2014-06-16,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,1,"2014-06-16",16,0.061418136,7.65907474818057,2.382034089,1.356618247,3.39594162952787,1.418036383,2.443452225,6,1
"180",10,79,182,2015,2015-09-24,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,9,1
"181",10,79,189,2015,2015-07-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,7,1
"182",10,79,196,2015,2015-07-01,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,7,1
"183",10,79,178,2014,2014-08-11,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,3,"2014-08-11",11,0.061418136,7.65907474818057,2.382034089,1.356618247,3.39594162952787,1.418036383,2.443452225,8,1
"184",10,79,177,2014,2014-07-14,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,2,"2014-07-14",14,0.061418136,7.65907474818057,2.382034089,1.356618247,3.39594162952787,1.418036383,2.443452225,7,1
"185",10,79,194,2015,2015-04-08,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,4,1
"188",10,79,193,2015,2015-05-07,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,5,1
"189",10,79,190,2015,2015-08-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,8,1
"190",10,79,186,2015,2015-03-25,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,3,1
"191",10,79,179,2014,2014-10-06,0,0,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,5,"2014-10-06",6,0.061418136,7.65907474818057,2.382034089,1.356618247,3.39594162952787,1.418036383,2.443452225,10,1
"192",10,79,198,2015,2015-09-10,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,9,1
"193",10,79,183,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,10,1
"194",10,79,195,2015,2015-03-10,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,3,1
"195",10,79,192,2015,2015-05-20,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,5,1
"196",10,79,188,2015,2015-07-31,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,2.709623664,1.7868609344612,13.937597267,11.130584231,8.59064159337947,13.840207895,16.647220931,7,1
"202",11,1,208,2015,2015-09-01,0,0,0,0,0,0,0,0,1,0,"cont",180,180,0,0,177,158,1,60.30150621,23.19660509,0.384677043,18,"2015-09-01",1,0.18802432,0.987000506782912,5.88993645,5.656673195,8.79845362697526,5.844697515,6.07796077,9,0
"203",11,1,217,2015,2015-05-26,0,0,0,0,0,0,0,0,1,0,"cont",180,180,0,0,177,158,1,60.30150621,23.19660509,0.384677043,11,"2015-05-26",26,0.18802432,0.987000506782912,5.88993645,5.656673195,8.79845362697526,5.844697515,6.07796077,5,0
"204",11,1,216,2015,2015-07-07,0,0,0,0,0,0,0,0,1,0,"cont",180,180,0,0,177,158,1,60.30150621,23.19660509,0.384677043,14,"2015-07-07",7,0.18802432,0.987000506782912,5.88993645,5.656673195,8.79845362697526,5.844697515,6.07796077,7,0
