"","X","Plot","Patch","year","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","day","patcharea","nnd","bufferarea","bufferfararea","ifm","tbufferfararea","tbufferarea","month"
"38",38,10,13,2015,2015-08-12,0,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,8
"39",39,10,13,2015,2015-06-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,6
"40",40,10,13,2015,2015-04-22,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,4
"41",41,10,13,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,10
"42",42,10,13,2015,2015-07-01,0,0,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,7
"43",43,10,13,2015,2015-05-20,0,1,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,5
"44",44,10,13,2015,2015-03-25,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,3
"50",50,10,2,2015,2015-10-12,0,0,3,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,10
"51",51,10,2,2015,2015-09-24,2,2,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,9
"52",52,10,2,2015,2015-06-03,0,0,0,0,0,0,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,6
"53",53,10,2,2015,2015-08-28,3,2,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,8
"54",54,10,2,2015,2015-07-01,0,0,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,7
"55",55,10,2,2015,2015-07-31,3,2,0,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,7
"56",56,10,2,2015,2015-06-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,6
"57",57,10,2,2015,2015-03-10,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,3
"58",58,10,2,2015,2015-03-25,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,3
"59",59,10,2,2015,2015-05-20,0,0,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,5
"60",60,10,2,2015,2015-10-22,0,0,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,10
"61",61,10,2,2015,2015-09-10,8,1,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,9
"62",62,10,2,2015,2015-04-22,8,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,4
"63",63,10,2,2015,2015-05-07,0,4,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,5
"64",64,10,2,2015,2015-07-17,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,7
"65",65,10,2,2015,2015-08-12,2,1,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,8
"66",66,10,2,2015,2015-04-08,9,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.227608388,3.72127142254845,3.222645745,3.222645745,5.46439530730178,3.450254133,3.450254133,4
"72",72,10,24,2015,2015-10-22,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,10
"73",73,10,24,2015,2015-03-10,0,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,3
"74",74,10,24,2015,2015-03-25,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,3
"75",75,10,24,2015,2015-06-03,0,2,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,6
"76",76,10,24,2015,2015-08-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,8
"77",77,10,24,2015,2015-06-17,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,6
"78",78,10,24,2015,2015-07-01,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,7
"79",79,10,24,2015,2015-04-22,24,0,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,4
"80",80,10,24,2015,2015-08-28,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,8
"81",81,10,24,2015,2015-07-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,7
"82",82,10,24,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,10
"83",83,10,24,2015,2015-04-08,8,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,4
"84",84,10,24,2015,2015-05-20,26,1,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,5
"85",85,10,24,2015,2015-09-10,2,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,9
"86",86,10,24,2015,2015-05-07,55,12,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,5
"87",87,10,24,2015,2015-09-24,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,9
"88",88,10,24,2015,2015-07-31,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,7
"94",94,10,35,2015,2015-06-17,4,0,3,0,0,1,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,6
"95",95,10,35,2015,2015-09-24,0,0,2,0,0,0,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,9
"96",96,10,35,2015,2015-07-31,0,1,2,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,7
"97",97,10,35,2015,2015-03-10,0,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,3
"98",98,10,35,2015,2015-04-22,8,5,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,4
"99",99,10,35,2015,2015-04-08,5,0,0,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,4
"100",100,10,35,2015,2015-06-03,5,1,2,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,6
"101",101,10,35,2015,2015-05-20,0,1,1,0,0,0,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,5
"102",102,10,35,2015,2015-08-12,1,0,0,0,0,1,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,8
"103",103,10,35,2015,2015-03-25,0,0,0,0,0,1,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,3
"104",104,10,35,2015,2015-05-07,0,13,1,0,0,0,0,0,1,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,5
"105",105,10,35,2015,2015-07-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,7
"106",106,10,35,2015,2015-08-28,5,0,0,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,8
"107",107,10,35,2015,2015-10-22,0,1,1,0,0,1,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,10
"108",108,10,35,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,10
"109",109,10,35,2015,2015-09-10,7,1,1,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,9
"110",110,10,35,2015,2015-07-01,0,0,1,0,0,1,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.175615029,2.41364661872624,15.74558384,12.87613165,9.63697961984522,13.051746679,15.921198869,7
"116",116,10,46,2015,2015-09-10,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,9
"117",117,10,46,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,10
"118",118,10,46,2015,2015-06-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,6
"119",119,10,46,2015,2015-08-12,0,0,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,8
"120",120,10,46,2015,2015-07-31,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,7
"121",121,10,46,2015,2015-06-03,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,6
"122",122,10,46,2015,2015-03-10,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,3
"123",123,10,46,2015,2015-10-22,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,10
"124",124,10,46,2015,2015-03-25,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,3
"125",125,10,46,2015,2015-08-28,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,8
"126",126,10,46,2015,2015-05-20,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,5
"127",127,10,46,2015,2015-04-08,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,4
"128",128,10,46,2015,2015-07-01,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,7
"129",129,10,46,2015,2015-05-07,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,5
"130",130,10,46,2015,2015-04-22,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.458044209,3.56156215730851,10.560149546,10.376601995,8.71511196067495,10.834646204,11.018193755,4
